system:index,LST_mean,NDBSI_mean,NDVI_mean,RSEI_mean,WET_mean,buffer,image_count,year,.geo
0_0,33.0687964287122,-0.10851974387578604,0.41210531140516443,0.5068492802595883,-0.12446105703875984,100m,49,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,33.05384230656071,-0.10984328192134206,0.41343977172621754,0.5077026597463257,-0.12382736677714563,300m,49,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,32.991130435956904,-0.11114116258975819,0.41302596479183196,0.5085908542348511,-0.12265091942692692,1000m,49,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,36.475794116616704,-0.1247789718920079,0.4837072045761295,0.5038042214552234,-0.12341278423428179,100m,53,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,36.45897024410243,-0.12511874497960618,0.4842855887701997,0.5041937246081987,-0.12317150289712266,300m,53,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,36.35157530481405,-0.1262452693585386,0.48426549150568377,0.5054064518457069,-0.12224424348472683,1000m,53,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,38.43284115675328,-0.057604535815228,0.3521734628186421,0.4367373932715619,-0.1526181606287969,100m,47,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,38.45183414114392,-0.05801026350048959,0.3536213318947708,0.4371332916675211,-0.15229745875109613,300m,47,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,38.471243602706494,-0.05717075016112751,0.35312675566489704,0.4366846044918047,-0.1524818735860792,1000m,47,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,36.20203532440189,-0.12608392361754284,0.302459671032171,0.4618262183741922,-0.11889746105370129,100m,31,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,36.18441588986632,-0.1266595550666629,0.30348520330520423,0.46240942622593423,-0.11853636766319764,300m,31,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,36.09405172054522,-0.1285893453689015,0.30611126877324557,0.4642228314550578,-0.11797720872295396,1000m,31,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,34.648695287678656,-0.1386765228198237,0.5048812597664499,0.5264409522758388,-0.11692660935438287,100m,43,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1,34.57982239988069,-0.1406822860061118,0.5069208272242753,0.5281066400960202,-0.11581516363570947,300m,43,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2,34.48272974129025,-0.14334348339528322,0.5104200078971582,0.5305546037498918,-0.11435303098381983,1000m,43,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,32.529962105830535,-0.15699319920937682,0.4346163280347384,0.5301296965211175,-0.10653294684239777,100m,48,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1,32.50636707498195,-0.15783541821641303,0.4351396965776773,0.5306504459260166,-0.10629532226847822,300m,48,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2,32.4299406857353,-0.15898794459823193,0.4355843194528426,0.5317595562900655,-0.10537461920782389,1000m,48,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,35.71129251065004,-0.08952895459948662,0.33116675600187073,0.4615683169605151,-0.13454085560766277,100m,47,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1,35.645273144143864,-0.09104950142574007,0.3334800117702826,0.46318754842310267,-0.13343320404373135,300m,47,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2,35.49589872184665,-0.09404146013874298,0.3367318337804451,0.4660502518430295,-0.13180204825736688,1000m,47,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,33.933190113154474,-0.15656526077673275,0.4652377890417741,0.5266386763926443,-0.11067884616220192,100m,48,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_1,33.92187919611189,-0.15663933365510857,0.46622978320186204,0.5269832689402668,-0.1106696558184896,300m,48,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_2,33.88604773568865,-0.15813266516539923,0.4671339890773194,0.5279668868565662,-0.10981138561952641,1000m,48,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,32.120562537200094,-0.18380234672714213,0.5021240602792668,0.5552251661908089,-0.10592684945611822,100m,40,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1,32.10011502789668,-0.18474026733424015,0.5026092126278843,0.5557698875967768,-0.10554053992827432,300m,40,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2,31.983506824527627,-0.1878146145350239,0.5053341893532804,0.5582427538611692,-0.10407350368086443,1000m,40,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,34.04391447044608,-0.07503790630724556,0.4241736994711668,0.4944293030758571,-0.13259366519548757,100m,40,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1,33.98790643437669,-0.07549133615747482,0.4246246284497542,0.49501799146182335,-0.13265383462852265,300m,40,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2,33.89781130088398,-0.07835772391797845,0.42803037401883876,0.497381585753354,-0.13138433851282874,1000m,40,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,35.04774746453075,-0.12456871223649786,0.4013112998680943,0.49389946140998026,-0.12129698777023806,100m,36,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_1,34.993365717165595,-0.12556383343645774,0.40167217494094726,0.49466146553437507,-0.12093008188119875,300m,36,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_2,34.93757653599733,-0.1285105902558676,0.4030849255591312,0.4962515051190374,-0.11985108048465941,1000m,36,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,34.84268641774067,-0.142600513208379,0.4989598683069605,0.5239314544054602,-0.11843706487576663,100m,37,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_1,34.79574828608653,-0.14423998885532,0.500778059354551,0.5251752344379934,-0.11790914833353407,300m,37,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_2,34.67525768259152,-0.1487528184314299,0.5046932461406524,0.528356182563498,-0.11597292004391364,1000m,37,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,35.70414975865652,-0.04144492646481876,0.2566827801474101,0.42846015719842306,-0.15997518469611996,100m,19,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_1,35.62703601543155,-0.04330405749234506,0.25777222763185464,0.43001445013706263,-0.15893987444599417,300m,19,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_2,35.489572381482496,-0.04438446890821052,0.2580847332285005,0.431231803641732,-0.1587395380362422,1000m,19,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,34.963301752845865,-0.14227426508620206,0.5749042429980935,0.5545137742795677,-0.06834484540843361,100m,49,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_1,34.89475516743374,-0.14475889628523325,0.5784730854145222,0.5564823816814594,-0.06789544175584639,300m,49,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_2,34.83279215950782,-0.14869997388088232,0.5837264798465019,0.5592127531011529,-0.06703705701268584,1000m,49,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,34.68119532516528,-0.14101316030298428,0.5529668089225077,0.5509739760914446,-0.06767585058263577,100m,53,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_1,34.63626283837599,-0.14241877993544283,0.5557012906279035,0.5522999226617934,-0.0674605157704546,300m,53,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_2,34.61003925671138,-0.14402522539459842,0.5577833534461204,0.5534241097693402,-0.06704000931266009,1000m,53,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,35.15050771345105,-0.1295881114128287,0.5102087285581964,0.5314214154412359,-0.08092799722783418,100m,56,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_1,35.094942107653615,-0.13072307037050687,0.5115747082064716,0.532509209494551,-0.08042041188328533,300m,56,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_2,35.0541622068809,-0.13243505063433123,0.5127780376606352,0.5336685272552099,-0.07947666226236495,1000m,56,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,34.80235533031124,-0.12958863598391535,0.5276075198361292,0.539724770910697,-0.07473764170708379,100m,47,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_1,34.75294218693387,-0.13007398499344078,0.5290611102926859,0.5405685326614342,-0.0744960042403281,300m,47,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_2,34.74865217710481,-0.12933112425350654,0.5269411167737353,0.5398429687537111,-0.07478194412370684,1000m,47,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,38.076960677628904,-0.07781192778595222,0.4765385595773479,0.4896454347959722,-0.09114255740469754,100m,55,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_1,38.05818356952555,-0.0787146887064247,0.47901025332990066,0.4905935664158737,-0.09104009836499456,300m,55,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_2,38.07081678135796,-0.07729540538719452,0.4773224441354358,0.48977672969043784,-0.09115703062924149,1000m,55,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,37.82513146327984,-0.09023592352997377,0.5036606614414525,0.5010807067613762,-0.08957431478688378,100m,49,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_1,37.78467253464955,-0.09008872956319074,0.504304640056607,0.5014670499524575,-0.0897438045826164,300m,49,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_2,37.84090458778793,-0.08674908588410093,0.5004228994776664,0.4993640247000604,-0.09013691044068989,1000m,49,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,35.73701821179642,-0.09438480623159853,0.5127841410343048,0.5189104435343421,-0.08952026144941266,100m,42,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_1,35.62106174748755,-0.09710352730916785,0.5176413078153409,0.5217041145254179,-0.08859787739435789,300m,42,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_2,35.46397159163033,-0.10277400602450351,0.5249300962832911,0.5260418438421435,-0.08735290890476319,1000m,42,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,34.15992747720452,-0.1470845567376175,0.5297547748702005,0.5507880570328811,-0.06463483689057625,100m,40,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_1,34.085942822460474,-0.1502296436504661,0.5354699519017531,0.5536089597100955,-0.06352947991717536,300m,40,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_2,33.97185706405336,-0.15497709305748655,0.5397209554370809,0.5568952400710637,-0.06137607076867457,1000m,40,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,32.852415338300524,-0.11838376328047139,0.4998876386758118,0.5430000455362948,-0.08110425169353035,100m,46,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_1,32.768105645878556,-0.12118417294695093,0.503800525922262,0.5453535861843289,-0.08000127769458044,300m,46,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_2,32.696231889662585,-0.12403549274288198,0.5050607682702984,0.5468843817941824,-0.07935042348501338,1000m,46,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,34.52719817409939,-0.16833254562278163,0.575185645819532,0.5671931070206963,-0.049201170266247964,100m,75,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_1,34.46399070318022,-0.1709847216401477,0.5797619958493123,0.5694512543904435,-0.04855502263169123,300m,75,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_2,34.4474339029511,-0.17388370263408046,0.5850249516995097,0.5716354287832972,-0.04772054809665861,1000m,75,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,34.74145039588055,-0.1607341190951714,0.5667471208735156,0.560456019539455,-0.0551190258572882,100m,75,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_1,34.704838702014534,-0.16123810701071747,0.5685387299251133,0.5611785662491645,-0.05548472211841956,300m,75,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_2,34.70981390108866,-0.1618607189605273,0.571276576915654,0.5619038253426163,-0.056026257574966584,1000m,75,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,37.71414533720311,-0.15703225371717458,0.5680082395860829,0.543153266238025,-0.038896426729050866,100m,53,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1,37.64910559075569,-0.1570320249776392,0.569751238871304,0.5439971001565385,-0.039190307620575994,300m,53,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
